country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,176983,7651,159744,9588,1124,4378,189,909906,22511,40421365
Albania,Europe,272885,3487,268764,634,13,95001,1214,1762808,613697,2872441
Algeria,Africa,265511,6870,178137,80504,8,5874,152,230861,5108,45199871
Andorra,Europe,39234,153,38377,704,14,506402,1975,249838,3224715,77476
Angola,Africa,99003,1900,96951,152,,2861,55,1473371,42575,34606502
Anguilla,North America,2595,9,2572,14,4,170376,591,51382,3373515,15231
Antigua And Barbuda,North America,7470,135,7330,5,1,75218,1359,18901,190321,99311
Argentina,South America,8990413,127363,8797548,65502,707,195859,2775,34971639,761868,45902517
Armenia,Asia,422254,8592,409196,4466,,142045,2890,2946713,991264,2972683
Aruba,North America,33843,212,33591,40,4,314704,1971,177885,1654144,107539
Australia,Australia/Oceania,3816633,5694,3442974,367965,92,146771,219,65109379,2503819,26004029
Austria,Europe,3387012,15344,2926418,445250,207,372446,1687,169566273,18645996,9093978
Azerbaijan,Asia,791077,9633,779987,1457,,76842,936,6646110,645572,10294915
Bahamas,North America,33206,773,32135,298,11,83088,1934,224033,560577,399647
Bahrain,Asia,542305,1464,529926,10915,5,300907,812,9529669,5287704,1802232
Bangladesh,Asia,1950357,29112,1867161,54084,1264,11645,174,13692423,81753,167485350
Barbados,North America,57451,326,56079,1046,,199500,1132,601053,2087171,287975
Belarus,Europe,946674,6698,928536,11440,,100241,709,12688661,1343565,9444026
Belgium,Europe,3683784,30492,3417047,236245,181,315512,2612,32285642,2765227,11675586
Belize,North America,57131,652,56101,378,6,139370,1591,513749,1253279,409924
Benin,Africa,26952,163,25506,1283,5,2128,13,604310,47719,12663850
Bermuda,North America,12094,126,11697,271,,195424,2036,823671,13309488,61886
Bhutan,Asia,20722,9,15939,4774,4,26361,11,2061231,2622144,786086
Bolivia,South America,898941,21477,812904,64560,220,75261,1798,2682016,224543,11944317
Bosnia And Herzegovina,Europe,373799,15661,192218,165920,,115155,4825,1725264,531498,3246039
Botswana,Africa,263950,2619,259434,1897,1,108510,1077,2026898,833257,2432499
Brazil,South America,29527640,656487,28126647,744506,8318,137252,3052,63776166,296448,215134427
British Virgin Islands,North America,6104,62,,,1,199647,2028,101161,3308726,30574
Brunei Darussalam,Asia,120600,177,100048,20375,27,271245,398,717784,1614387,444617
Bulgaria,Europe,1121194,36248,892225,192721,276,163456,5285,9438319,1375988,6859302
Burkina Faso,Africa,20751,375,20309,67,,948,17,248995,11380,21879126
Burundi,Africa,38296,38,773,37485,,3065,3,345742,27673,12493634
Cabo Verde,Africa,55917,401,55453,63,23,98745,708,400982,708102,566277
Cambodia,Asia,134772,3049,130688,1035,,7875,178,2907588,169903,17113192
Cameroon,Africa,119414,1926,117263,225,13,4315,70,1751774,63307,27671019
Canada,North America,3385567,37104,3233089,115374,510,88382,969,58875646,1536979,38306081
Caribbean Netherlands,North America,7739,31,7609,99,,290525,1164,30126,1130941,26638
Cayman Islands,North America,19433,22,8553,10858,2,289885,328,222773,3323135,67037
Central African Republic,Africa,14649,113,6859,7677,2,2946,23,81294,16348,4972814
Chad,Africa,7267,190,4874,2203,,422,11,191341,11106,17228265
Channel Islands,Europe,60524,147,55353,5024,,342730,832,1228692,6957722,176594
Chile,South America,3353259,44246,2634637,674376,875,172885,2281,34410260,1774105,19395838
China Hong Kong Sar,Asia,996862,5136,,,119,131155,676,36260319,4770697,7600634
China Macao Sar,Asia,82,,79,3,,123,,5318,8004,664416
China,Asia,126234,4636,104624,16974,18,88,3,160000000,111163,1439323776
Colombia,South America,6079231,139386,5911449,28396,342,117344,2690,33623076,649006,51807055
Comoros,Africa,8074,160,7892,22,,8960,178,,,901149
Congo,Africa,24049,378,20178,3493,,4183,66,347815,60496,5749361
Cook Islands,Australia/Oceania,604,,174,430,,34336,,4467,253937,17591
Costa Rica,North America,828442,8215,748263,71964,83,160135,1588,3854668,745095,5173389
Cote D Ivoire,Africa,81637,796,80778,63,,2970,29,1451949,52816,27490522
Croatia,Europe,1079397,15392,1052932,11073,42,265723,3789,4606262,1133955,4062121
Cuba,North America,1079111,8503,1067982,2626,23,95371,751,12920253,1141886,11314833
Curacao,North America,39459,265,38760,434,3,238802,1604,494095,2990220,165237
Cyprus,Asia,367743,905,124370,242468,60,300852,740,9477138,7753294,1222337
Czech Republic,Europe,3724368,39318,3608651,76399,135,346684,3660,54322163,5056591,10742842
Democratic Republic Of The Congo,Africa,86461,1335,50930,34196,,918,14,846704,8989,94196303
Denmark,Europe,2843361,5300,2677919,160142,29,487966,910,126439626,21699050,5826966
Djibouti,Africa,15572,189,15376,7,,15380,187,291959,288361,1012478
Dominica,North America,11643,62,11330,251,,161057,858,175744,2431063,72291
Dominican Republic,North America,577070,4375,572179,516,20,52303,397,3183162,288505,11033284
Ecuador,South America,849699,35348,,,759,46946,1953,2470170,136477,18099482
Egypt,Africa,495373,24277,424831,46265,122,4690,230,3693367,34968,105622058
El Salvador,North America,156364,4104,132410,19850,153,23902,627,1758939,268869,6541983
Equatorial Guinea,Africa,15899,183,15679,37,5,10732,124,295501,199469,1481436
Eritrea,Africa,9722,103,9618,1,,2678,28,23693,6527,3630048
Estonia,Europe,538673,2376,442625,93672,16,405610,1789,3193333,2404519,1328055
Ethiopia,Africa,469393,7488,421562,40343,48,3918,62,4587895,38292,119812480
Faeroe Islands,Europe,34237,28,7693,26516,5,696171,569,778000,15819760,49179
Falkland Islands Malvinas,South America,118,,,,,32311,,8632,2363636,3652
Fiji,Australia/Oceania,64154,834,62248,1072,,70692,919,502686,553915,907515
Finland,Europe,782912,2783,46000,734129,38,140928,501,10205163,1836984,5555390
France,Europe,23860194,140729,22452380,1267085,1695,364168,2148,246629975,3764212,65519680
French Guiana,South America,78326,394,11254,66678,3,251155,1263,605571,1941785,311863
French Polynesia,Australia/Oceania,71243,645,,,7,251143,2274,,,283675
Gabon,Africa,47570,303,47244,23,,20547,131,1584243,684289,2315166
Gambia,Africa,11973,365,11591,17,,4728,144,155686,61481,2532253
Georgia,Asia,1640550,16630,1594924,28996,,412601,4182,16160678,4064438,3976116
Germany,Europe,18140525,127072,14323500,3689953,2494,215342,1508,104701826,1242891,84240536
Ghana,Africa,160775,1445,159256,74,1,4996,45,2382030,74028,32177624
Gibraltar,Europe,16105,101,15604,400,10,478262,2999,524939,15588852,33674
Greece,Europe,2732866,26792,2472529,233545,348,264395,2592,70323524,6803560,10336283
Greenland,North America,11915,20,2761,9134,4,209263,351,164926,2896589,56938
Grenada,North America,13921,217,13635,69,4,122747,1913,140484,1238705,113412
Guadeloupe,North America,130705,843,2250,127612,19,326566,2106,938039,2343685,400241
Guatemala,North America,812125,17191,774578,20356,5,43946,930,4113749,222605,18480078
Guinea Bissau,Africa,8096,169,7082,845,6,3955,83,126743,61910,2047208
Guinea,Africa,36435,440,35950,45,8,2652,32,660107,48045,13739275
Guyana,South America,63175,1226,61792,157,5,79664,1546,557731,703299,793021
Haiti,North America,30478,827,27039,2612,,2619,71,132422,11377,11639378
Holy See,Europe,29,,28,1,,36070,,,,804
Honduras,North America,417201,10842,131100,275259,105,41011,1066,1263329,124185,10172976
Hungary,Europe,1824089,44961,1672699,106429,90,189643,4674,10975485,1141076,9618544
Iceland,Europe,169258,91,75685,93482,6,490579,264,1844753,5346847,345017
India,Asia,43004005,516312,42458543,29150,8944,30649,368,781224304,556775,1403124696
Indonesia,Asia,5939082,153212,5523393,262477,2771,21329,550,89980099,323144,278452247
Iran,Asia,7135719,139387,6805081,191251,2234,83143,1624,48534882,565512,85824734
Iraq,Asia,2315134,25119,2270809,19206,72,55440,602,18204435,435934,41759599
Ireland,Europe,1365467,6638,1248933,109896,44,271369,1319,11577799,2300938,5031773
Isle Of Man,Europe,25825,81,24010,1734,,300991,944,150753,1757028,85800
Israel,Asia,3745408,10417,3692166,42825,325,401609,1117,41373364,4436346,9326000
Italy,Europe,13645834,157442,12400175,1088217,473,226260,2611,194373101,3222884,60310299
Jamaica,North America,128456,2857,79730,45869,25,43060,958,889955,298323,2983195
Japan,Asia,5966960,26764,5401611,538585,991,47426,213,41672987,331220,125816574
Jordan,Asia,1680179,13959,1647266,18954,694,161933,1345,16499905,1590239,10375741
Kazakhstan,Asia,1304767,13653,1282851,8263,528,68101,713,11575012,604143,19159404
Kenya,Africa,323237,5647,317527,63,1,5794,101,3457194,61970,55788422
Kiribati,Australia/Oceania,3041,13,2478,550,9,24810,106,,,122571
Kuwait,Asia,626609,2552,620648,3409,9,143121,583,7763313,1773186,4378173
Kyrgyzstan,Asia,200787,2977,196016,1794,131,29934,444,1907195,284335,6707565
Laos,Asia,149131,643,7660,140828,,20003,86,1002806,134507,7455432
Latvia,Europe,761074,5484,667949,87641,36,411245,2963,6950241,3755547,1850660
Lebanon,Asia,1086890,10232,1013703,62955,186,160466,1511,4795578,708007,6773352
Lesotho,Africa,32775,697,23900,8178,,15095,321,415510,191374,2171190
Liberia,Africa,7397,294,5747,1356,2,1406,56,139824,26582,5260110
Libya,Africa,500864,6368,486647,7849,111,71242,906,2461977,350186,7030491
Liechtenstein,Europe,14926,81,14055,790,8,389560,2114,80413,2098734,38315
Lithuania,Europe,984980,8704,902510,73766,67,370633,3275,7947254,2990430,2657562
Luxembourg,Europe,197701,1010,183716,12975,4,307310,1570,4114873,6396239,643327
Macedonia,Europe,302548,9162,291431,1955,,145230,4398,1904444,914179,2083228
Madagascar,Africa,63870,1377,59156,3337,23,2210,48,404843,14007,28903112
Malawi,Africa,85539,2624,77556,5359,67,4283,131,555817,27830,19971617
Malaysia,Asia,3927437,34185,3596453,296799,373,118752,1034,53049502,1604033,33072571
Maldives,Asia,174658,297,163687,10674,25,313704,533,2213831,3976268,556761
Mali,Africa,30439,727,29592,120,,1433,34,637225,29996,21243803
Malta,Europe,73728,619,70836,2273,1,166224,1396,1211456,2731291,443547
Marshall Islands,Australia/Oceania,7,,7,0,,117,,,,59871
Martinique,North America,135881,905,104,134872,8,362573,2415,777358,2074232,374769
Mauritania,Africa,58660,981,57665,14,30,12076,202,765598,157604,4857747
Mauritius,Africa,34890,934,32931,1025,,27357,732,358675,281233,1275365
Mayotte,Africa,36745,187,2964,33594,,129373,658,176919,622902,284024
Mexico,North America,5624954,321806,4917930,385218,4798,42860,2452,15413920,117447,131241075
Micronesia,Australia/Oceania,1,,1,0,,9,,,,117078
