Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,178899,7683,161891.0,9325.0,4414,190,944514.0,23306.0,40527019
Albania,275107,3496,271213.0,398.0,95787,1217,1806414.0,628960.0,2872065
Algeria,265780,6875,178355.0,80550.0,5868,152,230861.0,5097.0,45295189
Andorra,41349,153,40689.0,507.0,533597,1974,249838.0,3224091.0,77491
Angola,99194,1900,97149.0,145.0,2856,55,1499795.0,43184.0,34729987
Antigua and Barbuda,7626,136,7443.0,47.0,76714,1368,18901.0,190136.0,99408
Argentina,9072230,128542,8895999.0,47689.0,197427,2797,35716069.0,777242.0,45952326
Armenia,422871,8622,411485.0,2764.0,142221,2900,3053893.0,1027090.0,2973346
Aruba,34846,212,34516.0,118.0,323869,1970,177885.0,1653314.0,107593
Australia,5960842,7238,5591247.0,362357.0,228915,278,69388128.0,2664717.0,26039586
Austria,4144906,18161,4049476.0,77269.0,455477,1996,183086157.0,20119040.0,9100144
Azerbaijan,792562,9709,782761.0,92.0,76904,942,6814486.0,661222.0,10305891
Bahamas,33558,798,32355.0,405.0,83874,1995,229817.0,574400.0,400099
Bahrain,568706,1475,563892.0,3339.0,314309,815,9721489.0,5372820.0,1809383
Bangladesh,1952691,29127,1895404.0,28160.0,11645,174,13990466.0,83434.0,167682449
Barbados,70080,394,65563.0,4123.0,243319,1368,649047.0,2253502.0,288017
Belarus,980345,6947,928536.0,44862.0,103810,736,13157373.0,1393250.0,9443653
Belgium,4056448,31439,3804223.0,220786.0,347250,2691,33531891.0,2870479.0,11681636
Belize,57497,676,56604.0,217.0,139966,1646,539513.0,1313345.0,410793
Benin,26952,163,25506.0,1283.0,2122,13,604310.0,47575.0,12702153
Bermuda,13488,131,12981.0,376.0,218048,2118,876273.0,14165880.0,61858
Bhutan,59219,21,57889.0,1309.0,75236,27,2299415.0,2921350.0,787107
Bolivia,904974,21910,858434.0,24630.0,75645,1831,2699040.0,225607.0,11963463
Bosnia and Herzegovina,377087,15765,192218.0,169104.0,116256,4860,1758191.0,542049.0,3243599
Botswana,305859,2688,303026.0,145.0,125444,1102,2026898.0,831303.0,2438217
Brazil,30448236,663551,29519204.0,265481.0,141412,3082,63776166.0,296198.0,215315795
British Virgin Islands,6355,62,,,207693,2026,103049.0,3367834.0,30598
Brunei,141911,218,141022.0,671.0,318814,490,717784.0,1612559.0,445121
Bulgaria,1156729,36913,978145.0,141671.0,168790,5386,9848912.0,1437158.0,6853049
Burkina Faso,20853,382,20439.0,32.0,950,17,248995.0,11345.0,21948289
Burundi,39998,38,773.0,39187.0,3191,3,345742.0,27579.0,12536394
CAR,14649,113,6859.0,7677.0,2940,23,81294.0,16315.0,4982920
Cabo Verde,56022,401,55553.0,68.0,98804,707,400982.0,707196.0,567003
Cambodia,136252,3056,133095.0,101.0,7949,178,2952645.0,172256.0,17141015
Cameroon,119780,1927,117791.0,62.0,4316,69,1751774.0,63125.0,27750700
Canada,3749083,39243,3454966.0,254874.0,97770,1023,60871310.0,1587430.0,38345820
Caribbean Netherlands,9729,34,9619.0,76.0,364819,1275,30126.0,1129669.0,26668
Cayman Islands,22223,27,8553.0,13643.0,331044,402,222773.0,3318531.0,67130
Chad,7411,193,4874.0,2344.0,429,11,191341.0,11070.0,17285158
Channel Islands,74383,169,73224.0,990.0,420752,956,1252808.0,7086579.0,176786
Chile,3558631,57527,3413409.0,87695.0,183288,2963,37001758.0,1905780.0,19415542
China,216587,5060,187525.0,24002.0,150,4,160000000.0,111163.0,1439323776
Colombia,6092667,139797,5926476.0,26394.0,117455,2695,34465052.0,664422.0,51872217
Comoros,8100,160,7933.0,7.0,8966,177,,,903381
Congo,24079,385,20178.0,3516.0,4176,67,347815.0,60324.0,5765738
Costa Rica,852074,8405,832853.0,10816.0,164526,1623,4291131.0,828568.0,5178975
Croatia,1122459,15828,1100854.0,5777.0,276530,3899,4786857.0,1179292.0,4059093
Cuba,1102941,8526,1093508.0,907.0,97485,754,12920253.0,1141970.0,11314005
Curaçao,42241,274,41612.0,355.0,255515,1657,496693.0,3004488.0,165317
Cyprus,474267,1020,124370.0,348877.0,387666,834,9477138.0,7746608.0,1223392
Czechia,3905702,40159,3852037.0,13506.0,363483,3737,55206405.0,5137763.0,10745223
DRC,87023,1337,50930.0,34756.0,921,14,846704.0,8957.0,94525115
Denmark,2966047,6158,2941752.0,18137.0,508807,1056,127218115.0,21823490.0,5829412
Djibouti,15611,189,15411.0,11.0,15392,186,303924.0,299667.0,1014206
Dominica,12033,63,11929.0,41.0,166404,871,188110.0,2601366.0,72312
Dominican Republic,579248,4376,574601.0,271.0,52438,396,3274131.0,296399.0,11046352
Ecuador,869696,35598,,,47965,1963,2470170.0,136235.0,18131709
Egypt,515645,24613,442182.0,48850.0,4871,233,3693367.0,34891.0,105854445
El Salvador,162089,4128,150662.0,7299.0,24762,631,1950448.0,297964.0,6545909
Equatorial Guinea,15907,183,15698.0,26.0,10697,123,310972.0,209126.0,1487006
Eritrea,9734,103,9631.0,0.0,2677,28,23693.0,6516.0,3635951
Estonia,572193,2539,511039.0,58615.0,430816,1912,3326696.0,2504737.0,1328162
Eswatini,70643,1397,68860.0,386.0,59762,1182,1015212.0,858837.0,1182077
Ethiopia,470568,7510,455383.0,7675.0,3916,63,4789701.0,39862.0,120155855
Faeroe Islands,34658,28,7693.0,26937.0,704402,569,778000.0,15812365.0,49202
Fiji,64634,862,62763.0,1009.0,71160,949,507722.0,558984.0,908295
Finland,1023013,3939,46000.0,973074.0,184114,709,10720282.0,1929350.0,5556421
France,28645285,145930,26801445.0,1697910.0,437086,2227,266484045.0,4066162.0,65536993
French Guiana,80859,395,11254.0,69210.0,258503,1263,627211.0,2005169.0,312797
French Polynesia,72720,648,,,256174,2283,,,283870
Gabon,47602,304,47285.0,13.0,20505,131,1593622.0,686463.0,2321497
Gambia,11995,365,11591.0,39.0,4722,144,155686.0,61283.0,2540446
Georgia,1655170,16810,1637198.0,1162.0,416374,4229,16915441.0,4255243.0,3975200
Germany,24761600,135900,22356000.0,2269700.0,293827,1613,122332384.0,1451626.0,84272659
Ghana,161173,1445,159691.0,37.0,4997,45,2435846.0,75517.0,32255757
